,blanc,,Coupe 694_665,,,Red 620,,,lime 550_15,
250,112.9097,250,6810.546,6697.6363,250,234.8647,121.955,250,99.3599,-13.5498
251,86.61823,251,6780.254,6693.63577,251,266.8983,180.28007,251,121.7355,35.11727
252,114.0158,252,7338.226,7224.2102,252,242.5996,128.5838,252,111.5898,-2.426
253,130.7061,253,7621.124,7490.4179,253,289.6216,158.9155,253,166.5885,35.8824
254,146.0739,254,8209.977,8063.9031,254,278.6362,132.5623,254,216.4114,70.3375
255,123.2103,255,8370.833,8247.6227,255,283.6862,160.4759,255,209.1773,85.967
256,145.5689,256,9167.735,9022.1661,256,318.4501,172.8812,256,227.4576,81.8887
257,126.7363,257,9581.28,9454.5437,257,335.8733,209.137,257,243.9763,117.24
258,178.6571,258,9951.427,9772.7699,258,347.4066,168.7495,258,234.905,56.2479
259,137.4951,259,10304.74,10167.2449,259,378.138,240.6429,259,319.6931,182.198
260,189.2186,260,10526.7,10337.4814,260,407.0234,217.8048,260,224.9225,35.7039
261,196.0144,261,10834.26,10638.2456,261,304.9204,108.906,261,250.4666,54.4522
262,169.9008,262,10912.72,10742.8192,262,465.4178,295.517,262,254.8571,84.9563
263,221.8977,263,11364.82,11142.9223,263,494.4383,272.5406,263,198.5388,-23.3589
264,188.6326,264,12214.86,12026.2274,264,442.904,254.2714,264,237.8439,49.2113
265,222.6058,265,12059.4,11836.7942,265,482.3429,259.7371,265,350.4088,127.803
266,219.9783,266,12296.38,12076.4017,266,506.4,286.4217,266,348.6556,128.6773
267,188.2444,267,11939.19,11750.9456,267,402.1786,213.9342,267,282.3728,94.1284
268,211.6594,268,13019.52,12807.8606,268,546.8284,335.169,268,335.1368,123.4774
269,220.6683,269,12943.34,12722.6717,269,576.485,355.8167,269,351.278,130.6097
270,207.0306,270,13370.96,13163.9294,270,377.2697,170.2391,270,335.8591,128.8285
271,174.6536,271,13320.14,13145.4864,271,590.0979,415.4443,271,335.1575,160.5039
272,280.9304,272,13735.87,13454.9396,272,445.6289,164.6985,272,314.838,33.9076
273,224.2171,273,13563.19,13338.9729,273,560.5814,336.3643,273,341.2081,116.991
274,216.0944,274,13562.33,13346.2356,274,555.0079,338.9135,274,319.237,103.1426
275,259.082,275,14268.47,14009.388,275,563.9182,304.8362,275,386.0926,127.0106
276,257.4155,276,14169.04,13911.6245,276,614.687,357.2715,276,467.5693,210.1538
277,271.4277,277,14589.84,14318.4123,277,564.1749,292.7472,277,372.5549,101.1272
278,318.3324,278,15056.63,14738.2976,278,512.5876,194.2552,278,372.2908,53.9584
279,196.8745,279,15101.99,14905.1155,279,601.6056,404.7311,279,360.9475,164.073
280,266.2368,280,15361.44,15095.2032,280,554.6888,288.452,280,421.5534,155.3166
281,261.9571,281,15817.23,15555.2729,281,601.9807,340.0236,281,445.8991,183.942
282,302.7886,282,15788.53,15485.7414,282,622.4343,319.6457,282,392.51,89.7214
283,295.0831,283,15516.39,15221.3069,283,629.9261,334.843,283,374.5338,79.4507
284,293.0749,284,16146.34,15853.2651,284,580.4323,287.3574,284,511.4639,218.389
285,248.1407,285,15558.66,15310.5193,285,657.9082,409.7675,285,288.5378,40.3971
286,330.6854,286,15618.1,15287.4146,286,649.8035,319.1181,286,423.5161,92.8307
287,352.8132,287,16030.99,15678.1768,287,540.9975,188.1843,287,452.7846,99.9714
288,327.9482,288,16148.01,15820.0618,288,626.1142,298.166,288,405.4685,77.5203
289,291.7228,289,16770.83,16479.1072,289,698.966,407.2432,289,486.2202,194.4974
290,297.3877,290,16610.63,16313.2423,290,687.7524,390.3647,290,520.4473,223.0596
291,260.0486,291,16214.26,15954.2114,291,619.1992,359.1506,291,520.1191,260.0705
292,254.0295,292,15901.44,15647.4105,292,650.6049,396.5754,292,427.525,173.4955
293,262.6883,293,16246.82,15984.1317,293,694.2955,431.6072,293,406.5507,143.8624
294,271.641,294,16263.75,15992.109,294,625.441,353.8,294,429.5825,157.9415
295,272.085,295,16843.71,16571.625,295,664.4348,392.3498,295,506.2234,234.1384
296,380.6732,296,16525.13,16144.4568,296,628.1354,247.4622,296,475.8487,95.1755
297,364.9637,297,16541.93,16176.9663,297,672.3338,307.3701,297,461.0137,96.05
298,342.643,298,17066.32,16723.677,298,691.7884,349.1454,298,497.8141,155.1711
299,382.4657,299,16552.07,16169.6043,299,719.5915,337.1258,299,427.846,45.3803
300,364.3109,300,16401.83,16037.5191,300,618.0515,253.7406,300,572.5068,208.1959
301,294.2715,301,17085.39,16791.1185,301,673.594,379.3225,301,411.9876,117.7161
302,302.5793,302,17192.42,16889.8407,302,842.0286,539.4493,302,473.6146,171.0353
303,317.4722,303,16642.16,16324.6878,303,740.8159,423.3437,303,469.6051,152.1329
304,319.4156,304,16650.41,16330.9944,304,638.8619,319.4463,304,392.6194,73.2038
305,265.8858,305,16658.88,16392.9942,305,664.7545,398.8687,305,445.3708,179.485
306,405.451,306,17472.54,17067.089,306,638.1093,232.6583,306,425.3925,19.9415
307,367.2442,307,17317.72,16950.4758,307,621.0002,253.756,307,353.8892,-13.355
308,349.0179,308,16908.61,16559.5921,308,765.202,416.1841,308,456.4153,107.3974
309,326.0925,309,16677.59,16351.4975,309,699.7786,373.6861,309,482.3562,156.2637
310,288.8629,310,16911.78,16622.9171,310,687.8088,398.9459,310,474.5733,185.7104
311,351.8261,311,17475.95,17124.1239,311,682.9894,331.1633,311,489.8069,137.9808
312,214.6383,312,16781.88,16567.2417,312,727.0543,512.416,312,415.4409,200.8026
313,310.451,313,17067.9,16757.449,313,696.829,386.378,313,469.1367,158.6857
314,268.3669,314,17134.84,16866.4731,314,681.2799,412.913,314,488.581,220.2141
315,332.4992,315,16719.87,16387.3708,315,741.2398,408.7406,315,547.2552,214.756
316,292.9875,316,16851.84,16558.8525,316,683.6758,390.6883,316,488.3262,195.3387
317,382.7477,317,16852.89,16470.1423,317,688.9763,306.2286,317,466.2619,83.5142
318,312.6801,318,16813.41,16500.7299,318,618.4389,305.7588,318,521.1491,208.469
319,300.4138,319,17101.77,16801.3562,319,586.8789,286.4651,319,530.9814,230.5676
320,323.2661,320,17506.13,17182.8639,320,660.6189,337.3528,320,590.3344,267.0683
321,486.7596,321,17161.74,16674.9804,321,585.5306,98.7710000000001,321,395.0461,-91.7135
322,297.5545,322,17256.9,16959.3455,322,588.0485,290.494,322,595.134,297.5795
323,340.9763,323,17260.35,16919.3737,323,603.8347,262.8584,323,504.3725,163.3962
324,306.4369,324,17473.3,17166.8631,324,698.4295,391.9926,324,505.9914,199.5545
325,326.3666,325,17117.94,16791.5734,325,588.9007,262.5341,325,532.1349,205.7683
326,296.9441,326,17377.79,17080.8459,326,728.2644,431.3203,326,516.1331,219.189
327,347.231,327,17673.98,17326.749,327,630.7101,283.4791,327,439.3592,92.1282
328,298.4561,328,17273.49,16975.0339,328,632.4725,334.0164,328,646.6866,348.2305
329,350.4097,329,18173.56,17823.1503,329,679.3969,328.9872,329,429.0778,78.6681
330,403.1292,330,17787.77,17384.6408,330,662.3076,259.1784,330,482.3206,79.1914
331,445.2289,331,17708.04,17262.8111,331,610.4086,165.1797,331,337.5072,-107.7217
332,415.7874,332,18527.77,18111.9826,332,688.2261,272.4387,332,508.9878,93.2004
333,315.8752,333,18323.58,18007.7048,333,674.8581,358.9829,333,423.5663,107.6911
334,366.8447,334,19660.85,19294.0053,334,740.921,374.0763,334,460.3601,93.5154
335,280.3195,335,19350.17,19069.8505,335,675.6791,395.3596,335,524.7185,244.399
336,330.5958,336,18582.04,18251.4442,336,769.0414,438.4456,336,459.9676,129.3718
337,371.9926,337,18805.39,18433.3974,337,672.4765,300.4839,337,450.6884,78.6958
338,313.5578,338,19005.76,18692.2022,338,620.0159,306.4581,338,434.7125,121.1547
339,393.1396,339,20328.3,19935.1604,339,650.4908,257.3512,339,571.8537,178.7141
340,358.6146,340,20448,20089.3854,340,631.1857,272.5711,340,631.1857,272.5711
341,371.7639,341,19900.73,19528.9661,341,514.7603,142.9964,341,521.9103,150.1464
342,299.5118,342,19104.95,18805.4382,342,577.6524,278.1406,342,477.8046,178.2928
343,299.6434,343,20318.51,20018.8666,343,734.8846,435.2412,343,535.0951,235.4517
344,407.0374,344,20042.69,19635.6526,344,764.126,357.0886,344,457.0276,49.9902
345,336.0627,345,19910.71,19574.6473,345,557.7383,221.6756,345,529.1342,193.0715
346,379.6202,346,20197.14,19817.5198,346,773.6083,393.9881,346,494.2305,114.6103
347,337.103,347,19972.34,19635.237,347,667.0642,329.9612,347,566.638,229.535
348,395.1858,348,20029.48,19634.2942,348,668.2486,273.0628,348,596.3879,201.2021
349,243.038,349,18762.45,18519.412,349,729.1636,486.1256,349,500.3904,257.3524
350,348.7272,350,18923.28,18574.5528,350,804.2591,455.5319,350,412.7829,64.0557
351,368.1757,351,18512.79,18144.6143,351,630.1702,261.9945,351,545.1968,177.0211
352,352.4543,352,16865.62,16513.1657,352,599.1932,246.7389,352,514.5951,162.1408
353,336.701,353,17579.65,17242.949,353,722.5439,385.8429,353,322.6711,-14.0299
354,300.3564,354,16894.96,16594.6036,354,768.4052,468.0488,354,440.0659,139.7095
355,284.5818,355,16886.18,16601.5982,355,617.7803,333.1985,355,492.8271,208.2453
356,386.5449,356,16938.08,16551.5351,356,593.6403,207.0954,356,510.8006,124.2557
357,302.6864,357,16874.07,16571.3836,357,584.759,282.0726,357,509.0787,206.3923
358,370.4384,358,16192.52,15822.0816,358,651.7239,281.2855,358,507.6479,137.2095
359,266.7314,359,16370.66,16103.9286,359,690.8088,424.0774,359,465.0836,198.3522
360,327.4717,360,15898.14,15570.6683,360,586.7425,259.2708,360,477.5735,150.1018
361,312.6733,361,16693.42,16380.7467,361,659.3665,346.6932,361,550.5962,237.9229
362,359.1223,362,16831.51,16472.3877,362,664.0673,304.945,362,413.3327,54.2104
363,339.377,363,16308.04,15968.663,363,617.6914,278.3144,363,475.1373,135.7603
364,346.8483,364,16429.07,16082.2217,364,652.9203,306.072,364,394.4577,47.6094
365,400.1852,365,16160.21,15760.0248,365,562.9859,162.8007,365,508.7181,108.5329
366,257.1659,366,16321.34,16064.1741,366,527.888,270.7221,366,487.2783,230.1124
367,357.8467,367,16310.38,15952.5333,367,526.6555,168.8088,367,546.9131,189.0664
368,330.2043,368,16475.5,16145.2957,368,464.9909,134.7866,368,545.8654,215.6611
369,290.1507,369,16354.79,16064.6393,369,587.0749,296.9242,369,425.113,134.9623
370,378.4617,370,15775.84,15397.3783,370,587.9855,209.5238,370,446.0486,67.5869
371,297.9518,371,15780.07,15482.1182,371,507.8881,209.9363,371,460.482,162.5302
372,339.327,372,16530.67,16191.343,372,556.514,217.187,372,583.6634,244.3364
373,283.5091,373,16320.24,16036.7309,373,594.0464,310.5373,373,533.2869,249.7778
374,376.1917,374,15937.68,15561.4883,374,638.2073,262.0156,374,450.0915,73.8998
375,295.2442,375,16540.1,16244.8558,375,503.2727,208.0285,375,543.5378,248.2936
376,248.0671,376,15805.64,15557.5729,376,556.5004,308.4333,376,449.216,201.1489
377,342.3974,377,16144.05,15801.6526,377,516.9664,174.569,377,510.2521,167.8547
378,336.2035,378,16642.02,16305.8165,378,571.5659,235.3624,378,511.0425,174.839
379,435.6584,379,15881.1,15445.4416,379,502.6877,67.0293,379,428.9555,-6.7029
380,287.3727,380,15768.46,15481.0873,380,541.3506,253.9779,380,400.992,113.6193
381,287.433,381,16040.41,15752.977,381,601.6321,314.1991,381,487.9822,200.5492
382,300.9375,382,15644.47,15343.5325,382,501.5776,200.6401,382,428.0082,127.0707
383,307.3647,383,16504,16196.6353,383,654.8544,347.4897,383,507.8351,200.4704
384,340.575,384,15883.67,15543.095,384,581.0017,240.4267,384,487.5004,146.9254
385,374.1234,385,16393.79,16019.6666,385,541.1563,167.0329,385,507.749,133.6256
386,367.6695,386,16162.11,15794.4405,386,494.692,127.0225,386,474.6355,106.966
387,374.2391,387,16633.9,16259.6609,387,541.3237,167.0846,387,454.4386,80.1995
388,287.3326,388,16491.39,16204.0574,388,487.8119,200.4793,388,434.3496,147.017
389,233.8082,389,17211.87,16978.0618,389,601.2541,367.4459,389,347.3781,113.5699
390,287.2323,390,17519.53,17232.2977,390,567.8086,280.5763,390,374.0748,86.8425
391,360.3218,391,17970.02,17609.6982,391,460.4182,100.0964,391,453.745,93.4232
392,293.3463,392,18048.78,17755.4337,392,633.3935,340.0472,392,433.3615,140.0152
393,300.8115,393,21485.73,21184.9185,393,514.7385,213.927,393,574.9078,274.0963
394,281.535,394,27926.5,27644.965,394,489.3499,207.8149,394,442.4228,160.8878
395,268.1814,395,30718.48,30450.2986,395,569.9111,301.7297,395,442.5108,174.3294
396,261.578,396,35600.56,35338.982,396,596.9643,335.3863,396,355.4828,93.9048
397,315.0589,397,41642.37,41327.3111,397,529.5841,214.5252,397,502.7677,187.7088
398,301.5435,398,48711.11,48409.5665,398,583.0087,281.4652,398,469.0795,167.536
399,294.6429,399,57399.68,57105.0371,399,602.7063,308.0634,399,475.4593,180.8164
400,281.115,400,69062.69,68781.575,400,682.7488,401.6338,400,488.6198,207.5048
401,321.161,401,81807.13,81485.969,401,555.3604,234.1994,401,454.9872,133.8262
402,367.9372,402,94223.9,93855.9628,402,521.8139,153.8767,402,461.6004,93.6632
403,363.2164,403,117178.3,116815.0836,403,491.0241,127.8077,403,578.4743,215.2579
404,331.3902,404,142496.3,142164.9098,404,547.8258,216.4356,404,493.7156,162.3254
405,223.3954,405,167623.4,167400.0046,405,717.6254,494.23,405,406.1844,182.789
406,311.7533,406,214843.1,214531.3467,406,609.9789,298.2256,406,372.7519,60.9986
407,278.6802,407,278019.5,277740.8198,407,638.9593,360.2791,407,401.0349,122.3547
408,340.8804,408,343695.2,343354.3196,408,654.5204,313.64,408,470.4239,129.5435
409,280.2657,409,418216.2,417935.9343,409,567.3909,287.1252,409,499.0255,218.7598
410,349.582,410,498000.6,497651.018,410,623.789,274.207,410,507.2484,157.6664
411,343.2238,411,590524.1,590180.8762,411,542.3094,199.0856,411,494.2532,151.0294
412,419.3884,412,706766.1,706346.7116,412,508.7728,89.3844,412,625.6637,206.2753
413,372.3573,413,823893.5,823521.1427,413,517.1738,144.8165,413,379.2532,6.89589999999998
414,359.6438,414,950959.6,950599.9562,414,449.5605,89.9167,414,587.8986,228.2548
415,257.1028,415,1071867,1071609.8972,415,660.167,403.0642,415,340.4915,83.3887
416,377.0124,416,1222081,1221703.9876,416,481.7452,104.7328,416,488.7275,111.7151
417,300.5801,417,1374489,1374188.4199,417,587.2038,286.6237,417,566.2305,265.6504
418,433.9814,418,1554347,1553913.0186,418,587.9879,154.0065,418,454.9819,21.0005
419,358.4837,419,1704269,1703910.5163,419,604.523,246.0393,419,752.1549,393.6712
420,310.5862,420,1854622,1854311.4138,420,501.1867,190.6005,420,783.5767,472.9905
421,269.7646,421,2000544,2000274.2354,421,653.1497,383.3851,421,837.7573,567.9927
422,292.7247,422,2161979,2161686.2753,422,564.0518,271.3271,422,699.7232,406.9985
423,250.5644,423,2300845,2300594.4356,423,572.7444,322.18,423,873.472,622.9076
424,272.7946,424,2455731,2455458.2054,424,610.2272,337.4326,424,861.5273,588.7327
425,360.5114,425,2582159,2581798.4886,425,648.9464,288.435,425,677.7912,317.2798
426,398.3026,426,2707423,2707024.6974,426,514.1807,115.8781,426,905.2965,506.9939
427,305.4144,427,2818702,2818396.5856,427,494.4934,189.079,427,632.6727,327.2583
428,350.5,428,2933529,2933178.5,428,576.8825,226.3825,428,876.3132,525.8132
429,352.9129,429,3054532,3054179.0871,429,441.1465,88.2336,429,808.809,455.8961
430,281.2993,430,3160263,3159981.7007,430,629.2518,347.9525,430,732.9036,451.6043
431,364.274,431,3251236,3250871.726,431,743.4543,379.1803,431,750.8896,386.6156
432,395.6907,432,3350727,3350331.3093,432,649.5521,253.8614,432,492.7533,97.0626
433,359.8445,433,3433242,3432882.1555,433,607.2576,247.4131,433,502.2924,142.4479
434,338.7512,434,3521544,3521205.2488,434,639.889,301.1378,434,331.2231,-7.5281
435,385.8788,435,3604434,3604048.1212,435,605.3177,219.4389,435,506.947,121.0682
436,266.1633,436,3683934,3683667.8367,436,638.8233,372.66,436,562.7673,296.604
437,351.999,437,3765575,3765223.001,437,642.8052,290.8062,437,451.4828,99.4838
438,408.0792,438,3855647,3855238.9208,438,700.691,292.6118,438,477.38,69.3008
439,440.8555,439,3939952,3939511.1445,439,603.2886,162.4331,439,425.386,-15.4695
440,341.8364,440,4013254,4012912.1636,440,582.6937,240.8573,440,520.5355,178.6991
441,398.9389,441,4081446,4081047.0611,441,704.0374,305.0985,441,461.5213,62.5824
442,330.7723,442,4148636,4148305.2277,442,740.3384,409.5661,442,472.5403,141.768
443,308.866,443,4180525,4180216.134,443,570.233,261.367,443,562.3126,253.4466
444,414.1218,444,4201306,4200891.8782,444,756.6012,342.4794,444,645.0931,230.9713
445,449.0817,445,4216989,4216539.9183,445,617.5002,168.4185,445,352.8457,-96.236
446,419.8837,446,4226041,4225621.1163,446,605.6154,185.7317,446,565.2383,145.3546
447,405.7503,447,4199584,4199178.2497,447,681.6837,275.9334,447,592.4091,186.6588
448,366.9915,448,4165715,4165348.0085,448,603.5146,236.5231,448,432.2379,65.2464000000001
449,377.7847,449,4123946,4123568.2153,449,517.4096,139.6249,449,566.6901,188.9054
450,380.4253,450,4047403,4047022.5747,450,595.4637,215.0384,450,612.0056,231.5803
451,373.9908,451,3930295,3929921.0092,451,515.285,141.2942,451,482.0389,108.0481
452,350.7735,452,3792116,3791765.2265,452,818.5174,467.7439,452,425.9431,75.1696
453,453.3761,453,3645447,3644993.6239,453,671.6857,218.3096,453,621.3056,167.9295
454,303.8293,454,3486986,3486682.1707,454,725.8508,422.0215,454,438.8716,135.0423
455,459.2804,455,3336502,3336042.7196,455,518.8204,59.54,455,501.8089,42.5285
456,419.9506,456,3191769,3191349.0494,456,599.942,179.9914,456,565.6573,145.7067
457,396.5965,457,3043960,3043563.4035,457,672.5113,275.9148,457,638.0209,241.4244
458,416.3015,458,2910137,2909720.6985,458,650.4888,234.1873,458,555.0776,138.7761
459,322.6643,459,2799748,2799425.3357,459,662.7957,340.1314,459,540.6942,218.0299
460,455.9632,460,2687504,2687048.0368,460,657.6543,201.6911,460,543.6538,87.6906000000001
461,433.3152,461,2608601,2608167.6848,461,592.5029,159.1877,461,442.1588,8.84359999999998
462,481.5656,462,2527600,2527118.4344,462,802.6382,321.0726,462,499.4024,17.8368
463,502.8297,463,2454897,2454394.1703,463,664.4656,161.6359,463,745.2856,242.4559
464,470.0906,464,2389766,2389295.9094,464,768.4427,298.3521,464,470.0906,0
465,491.6353,465,2316180,2315688.3647,465,691.9464,200.3111,465,518.95,27.3147000000001
466,403.4039,466,2232130,2231726.5961,466,861.8605,458.4566,466,623.4573,220.0534
467,471.1518,467,2171979,2171507.8482,467,655.9304,184.7786,467,665.1695,194.0177
468,511.9498,468,2098447,2097935.0502,468,735.3637,223.4139,468,688.8183,176.8685
469,505.1685,469,2024582,2024076.8315,469,841.9778,336.8093,469,570.6573,65.4888
470,432.472,470,1949356,1948923.528,470,883.7896,451.3176,470,629.9181,197.4461
471,360.2765,471,1892529,1892168.7235,471,635.2428,274.9663,471,625.7609,265.4844
472,544.951,472,1836723,1836178.049,472,793.5459,248.5949,472,745.7382,200.7872
473,374.8592,473,1772396,1772021.1408,473,788.1994,413.3402,473,653.6196,278.7604
474,521.8121,474,1735350,1734828.1879,474,715.0902,193.2781,474,608.7863,86.9742
475,409.5424,475,1720767,1720357.4576,475,848.376,438.8336,475,546.0642,136.5218
476,452.5995,476,1692285,1691832.4005,476,708.4351,255.8356,476,649.3949,196.7954
477,455.7982,477,1682003,1681547.2018,477,871.9984,416.2002,477,634.1654,178.3672
478,468.9724,478,1669475,1669006.0276,478,818.2357,349.2633,478,488.9296,19.9572
479,582.5355,479,1669844,1669261.4645,479,863.7837,281.2482,479,612.6685,30.133
480,343.6973,480,1660845,1660501.3027,480,879.5073,535.81,480,525.6641,181.9668
481,468.7646,481,1675126,1674657.2354,481,1019.109,550.3444,481,723.5461,254.7815
482,647.1642,482,1688434,1687786.8358,482,903.998,256.8338,482,616.345,-30.8192
483,404.3417,483,1706068,1705663.6583,483,974.6209,570.2792,483,684.2892,279.9475
484,460.3923,484,1721418,1720957.6077,484,1025.474,565.0817,484,648.7462,188.3539
485,462.874,485,1724152,1723689.126,485,1441.355,978.481,485,757.4514,294.5774
486,539.3831,486,1739503,1738963.6169,486,1290.381,750.9979,486,623.9972,84.6141
487,490.4071,487,1772794,1772303.5929,487,1450.03,959.6229,487,682.3177,191.9106
488,655.5093,488,1821198,1820542.4907,488,1246.611,591.1017,488,634.016,-21.4933000000001
489,583.3107,489,1873988,1873404.6893,489,1382.765,799.4543,489,777.7616,194.4509
490,445.1717,490,1925094,1924648.8283,490,1509.388,1064.2163,490,814.3661,369.1944
491,425.5612,491,1998586,1998160.4388,491,1418.667,993.1058,491,927.5479,501.9867
492,394.7638,492,2098763,2098368.2362,492,1535.352,1140.5882,492,789.5561,394.7923
493,473.8861,493,2207974,2207500.1139,493,1388.712,914.8259,493,881.6812,407.7951
494,520.5432,494,2324381,2323860.4568,494,1151.906,631.3628,494,575.923,55.3798
495,533.6576,495,2441417,2440883.3424,495,833.8625,300.2049,495,767.1489,233.4913
496,457.5651,496,2557641,2557183.4349,496,937.4907,479.9256,496,915.1677,457.6026
497,492.8129,497,2680386,2679893.1871,497,907.2573,414.4444,497,896.0557,403.2428
498,550.7739,498,2804235,2803684.2261,498,910.4922,359.7183,498,663.1834,112.4095
499,508.5589,499,2940381,2939872.4411,499,858.926,350.3671,499,836.3211,327.7622
500,784.0045,500,3066796,3066011.9955,500,818.0941,34.0896,500,806.7308,22.7263
501,503.7166,501,3184254,3183750.2834,501,1007.477,503.7604,501,629.6526,125.936
502,588.2402,502,3335076,3334487.7598,502,934.2919,346.0517,502,888.1505,299.9103
503,602.018,503,3467156,3466553.982,503,775.6887,173.6707,503,845.1584,243.1404
504,522.9025,504,3606901,3606378.0975,504,813.4243,290.5218,504,1034.231,511.3285
505,575.579,505,3758035,3757459.421,505,928.002,352.423,505,904.5065,328.9275
506,558.0572,506,3902207,3901648.9428,506,854.9175,296.8603,506,926.1663,368.1091
507,657.4182,507,4040399,4039741.5818,507,968.2229,310.8047,507,1004.086,346.6678
508,481.2832,508,4170533,4170051.7168,508,926.5045,445.2213,508,950.5714,469.2882
509,702.1384,509,4286206,4285503.8616,509,932.1671,230.0287,509,1077.453,375.3146
510,718.568,510,4403624,4402905.432,510,986.5304,267.9624,510,1047.432,328.864
511,552.9189,511,4539170,4538617.0811,511,970.7128,417.7939,511,1105.888,552.9691
512,743.7326,512,4679072,4678328.2674,512,867.6968,123.9642,512,966.8699,223.1373
513,637.7093,513,4803273,4802635.2907,513,850.2936,212.5843,513,1287.99,650.2807
514,517.1269,514,4916142,4915624.8731,514,920.7676,403.6407,514,1273.974,756.8471
515,724.0667,515,5028754,5028029.9333,515,1041.666,317.5993,515,1346.576,622.5093
516,703.595,516,5088381,5087677.405,516,908.2917,204.6967,516,1151.378,447.783
517,554.4572,517,5198556,5198001.5428,517,954.2118,399.7546,517,1547.442,992.9848
518,597.8312,518,5332496,5331898.1688,518,987.7508,389.9196,518,1611.671,1013.8398
519,471.4466,519,5448144,5447672.5534,519,798.86,327.4134,519,1715.705,1244.2584
520,659.773,520,5548399,5547739.227,520,831.3248,171.5518,520,1530.774,871.001
521,704.955,521,5651287,5650582.045,521,1010.902,305.947,521,2155.003,1450.048
522,697.1483,522,5746390,5745692.8517,522,791.0007,93.8524000000001,522,1635.732,938.5837
523,527.1498,523,5845432,5844904.8502,523,1000.268,473.1182,523,2000.684,1473.5342
524,694.9819,524,5923868,5923173.0181,524,994.7999,299.818,524,2793.985,2099.0031
525,741.9028,525,5984641,5983899.0972,525,1016.702,274.7992,525,2047.297,1305.3942
